id;created_date;expiration;name;url;item_id
262719;2023-06-14 22:16:16.276;2023-06-17 22:16:16.274;gr/1110/items/428286-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/1110/items/428286-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T221616Z&X-Amz-SignedHeaders=host&X-Amz-Expires=259199&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c59002aa23380da0e410875a4e2d7ff7def0d6b6344f7ef5f325bfe47c126c0a;428286
269001;2023-06-14 22:36:14.894;2023-06-16 22:36:14.891;gr/557/items/325455-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/557/items/325455-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d5cffe420ce9188042ca223bec7eb734c1275b1c54eb34f034597c6dc757cae4;253
269002;2023-06-14 22:36:14.898;2023-06-16 22:36:14.895;gr/557/items/325456-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/557/items/325456-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e5b1ffd81b125948a57ad95867c50ad041309c818b1500df1567111e8f4b6685;254
269003;2023-06-14 22:36:14.9;2023-06-16 22:36:14.898;gr/557/items/325457-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/557/items/325457-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=2c226579fe36847bee86a87ebfb59ba7bd1b616c044d8dac0e9316deb29f6942;255
268462;2023-06-14 22:36:14.904;2023-06-16 22:36:14.901;gr/3007/items/902708-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/3007/items/902708-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=db4878112ccc651eacb3f7da08f0f6d055a1eb15a05c85a03d25088136815241;902708
268463;2023-06-14 22:36:14.906;2023-06-16 22:36:14.904;gr/3007/items/902709-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/3007/items/902709-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=496864b2de2e7bb1c0f1a0f4ae39ae06888fb1dbad5d7de632739f0a0f2712a8;902709
268464;2023-06-14 22:36:14.909;2023-06-16 22:36:14.906;gr/3007/items/902710-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/3007/items/902710-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=4a90c295765e11452265a6d38527ed2c7e45d20cfc2f42d8840cd021c221ecf2;902710
268465;2023-06-14 22:36:14.911;2023-06-16 22:36:14.909;gr/3007/items/902711-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/3007/items/902711-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d44e81b0808c960fb6021e47e52965016384902d503155aab57eaa652fac70db;902711
268466;2023-06-14 22:36:14.914;2023-06-16 22:36:14.912;gr/3007/items/902711-2_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/3007/items/902711-2_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=2ffdd3dc0847d50bf6976f7a8d5c121a54824ff3336433775fa16cef12f1ed46;902711
268467;2023-06-14 22:36:14.917;2023-06-16 22:36:14.914;gr/3007/items/902712-1_large.jpg;https://garderobe-inmov.s3.amazonaws.com/gr/3007/items/902712-1_large.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230614T223614Z&X-Amz-SignedHeaders=host&X-Amz-Expires=172799&X-Amz-Credential=AKIAWXJU55A6FMYYN3JM%2F20230614%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c9e89e4b20a81d5ca014021278e0c27724679cd49d8729dad2d99dd3853065c2;902712
